aas	ay
elektrolytisch	electrolytic	electrolyte
elektromagnet	electromagnetic
elektromagnetisch	electromagnetic
elektronik	electronics	electronic
elektronisch	electronic
elektrostatisch	electrostatic
element	element
elementar	element	elementary
elf	elf	elief
elfe	elf	elief
elimination	elimination
eliminierung	elimination
elitär	elite
elite	elite
elixier	elixir
ellipse	ellipse
elliptisch	elliptic
elterlich	gently
eltern	enter
email	mail
emanzipation	emancipating
embargo	embargo
emblem	emblem
embolie	embolic
embryo	embryo
embryonal	embryotic
emeritus	emeritus
emigrant	emigrant	emmigrant
eminent	eminent
eminenz	eminence
emirat	emirate
emittieren	emitting
emmentaler	emmenthal
emotion	emotion
empirisch	empiric
emsig	as
emulation	emulation
emulsion	emulsive
encodieren	encoding
ende	end
enden	end	ended
endlos	endless
endogamie	endogamy	endogamic
endogen	endogenetic
endresultat	result	resultance
endung	ending
energie	energy
energisch	energy
eng	ens	en
engagement	engagement
engagieren	engaging	engage
engagiert	engaged
engel	engels
engen	engine
england	england	gland
englisch	english
englisch	english
enklave	enclave
enorm	enormous
ensemble	ensemble
entbehren	entbehr
ente	enter	gent
enteilen	entail
entente	intent	entente
enterich	enteric	entry
entern	enter	center
enthusiastisch	enthusiastic
entrann	entrant
entrepreneur	entrepreneur
entrinnen	entry
entronnen	enteron
entrüsten	entrust
enzian	gentian
enzyklopädie	encyclopedia
enzyklopädisch	encyclopedia
enzym	enzyme
epen	hep
epidemisch	epidemic
epigramm	epigram	epigraphy	epigrammatic
epilepsie	epilepsy
epileptiker	epileptic
episch	epic
episode	episode
epochal	epochal
epoche	epoch
epos	epos	depose
epoxyd	epoxy
eprom	eros
equipe	equip
er	er	her	ere
erben	herba
erbin	herb
erbse	herbs
erden	herd
erektion	erection	erecting
eremit	hermit
ergänzung	urgency
erging	urging
ergonomie	ergonomic
ergonomisch	ergonomic
eritrea	eritrea	eritrean
erlangen	erlang
erlös	erlang
ernten	enter
erobern	robert
erosion	erosion
erotik	erotic
erotisch	erotic
erratisch	erratic
errettung	retrieval
erringen	herring
ersinnen	sin
erst	erst	erste
eruption	eruption
erz	ern	hertz
es	es
esel	es
eskapade	escapade
eskorte	escort
esoteriker	esoteric
esoterisch	esoteric
espresso	espresso
essay	essay
essen	essen
essenz	essence
etablieren	establish
etablissement	establishment
etage	etage	erase
etat	estate	et	etat
ethernet	ethernet
ethik	ethic	ethicism	ethics
ethisch	ethic
ethnisch	ethnic
ethnograph	ethnographic
ethologie	ethological
ethologisch	ethological
ethos	ethos
etüde	etude
etui	etui
euklidisch	euclid
eunuche	eunuch
euphorie	euphoria
euphorisch	euphoric
eurasisch	eurasia
europa	europa	europe
europäer	european
europäisch	european
euter	ester
evaluation	evaluation
evaluieren	value	valuer
evangelist	evangelist
eventualität	eventuality
eventuell	eventual	eventually
evident	evident
evidenz	evident	evidence
evolution	evolution
evolutionär	evolutionary
evolutiv	evolution
exakt	exact	exactly
exaktheit	exactness
exaltiert	exalt	exalted
examen	examen
examina	examine
excellent	excellent
exegetisch	exegetic
exekution	execution
exekutiv	executive
exekutor	executor
exemplar	exemplar
exil	exility	exile
existentiell	existential
existenz	existence
existenziell	existential
existieren	existing	exist
exklusiv	exclusive
exogen	exogenetic
exorzist	exorcist
exot	exotic
exotisch	exotic
expandieren	expand	expanding
expedition	expedition
experimentell	experimental
experte	expert
explizit	explicit
explodieren	exploding	explode
explosion	explosion
explosionsartig	explosive
explosiv	explosive
exponieren	expose
exponiert	exposed
export	export
exportieren	export	exporting
exposition	exposition
expression	expression	expressions
expressionismus	expressionist
expressionist	expressionist
expressiv	expression	expressively
exquisit	exquisite
extension	extension
extensiv	extensive
extern	extern
extrahieren	extract
extrakt	extract	extracts
extravaganz	extravagance
extrem	extreme
extremismus	extremist
exzellent	excellent
exzellenz	excellence	excellency
exzentrisch	excentric
exzentrizität	excentricity
exzeß	excess	excess
fabel	fable	faber
fabrik	fabrication	fabric
fabrikation	fabrication
facette	face	facet
fach	fed	fac
fachorgan	facia
fade	fade	fad
fäden	fed	fed	fed
fader	faded
faible	faible
fair	fair	fairy	faire
fairneß	fairness
fakten	fact	facts	factum
faktisch	fact	facto
faktor	factor	factory
faktum	factum	factus	factory
fakultät	faculty	faculties
falke	falcon	falco
falken	falcon
fall	fall	falls
fallen	fallen	fall
fällen	fell
fallout	fallout
falls	falls	false	fable
falsch	false
falsifikation	falsification
falten	falter
falter	falter
familiär	family
familie	family
famos	famous
fan	fan	fang	fane
fanatiker	fanatic	fanatico
fanatisch	fanatic
fanatismus	fanaticism
fand	fang
fanfare	fanfare
fang	fang	fan
fänge	fing	fan	fen
fangen	fang
fango	fargo
fantasie	fantasy
fantastisch	fantastic
farbband	riband
farbbänder	riband
farm	farm
farmer	farmer
farn	far	fari
fasching	facing
faschismus	fascia	fascism
faschist	fascist
faseln	fiber
faser	fiber
faß	fag	fag	farm
fast	fast
fasten	fasten	fast
faszinieren	fascine
fatal	fatal	fate
fatalismus	fatalist
fatalistisch	fatalist
fatalität	fatality	fatal	fatalism
fatum	fate
faul	faule
faulig	faule
fauna	fauna	fe
faust	faust
fauteuil	fauteuil
faxen	fax
fazit	face
februar	february
feder	fed
fedora	fedora
fee	fee	fey
feedback	feedback
fegen	peg
fehlkalkulation	miscalculation
feier	fair
feig	fey
feil	fail
fein	fey
feind	find	fend	fence
feinheit	fence
feld	field
fell	fell	fall
fels	felt	false
felsig	false
feminin	feminist
ferien	feria
ferkel	fierce
fern	fern	fen	fer
ferrara	ferrara
fesch	fish
fest	fester
festival	festival
festspiel	festival
fetisch	fetish
fett	fat
fettig	fatty
fetzen	fatten
feudal	feudal	feudality
feudalismus	feudality
fez	fece	feces
fiasko	fiasco
fibel	fiber	five
fiber	fiber	fiver	fib
fidel	fidelity	fide
fies	fie	fish
figur	figure	figured
fiktion	fiction
fiktiv	fictive
file	file	files	fille
filet	fillet
filiale	filial
filibuster	filibuster
film	film
filmen	film	filmed
filmisch	filmy
filter	filter
filtern	filter
filterung	filter
filz	felt
final	final	finally	finale
finanz	finance
finanziell	financial
finanzieren	financing
finden	find	finder
finder	finder	find
findig	finding
findling	fiddling	fiddle
finesse	finest
fing	fing	fin	fink
finger	finger
fingieren	finger	finish
fink	fink
finne	fin	find
finnisch	find
finte	find
firma	firm	firma
firmen	firm
firmware	firmware
first	first
fisch	fish	fin
fischen	fish	fishes
fischer	fisher	fish
fiskalisch	fiscal
fitneß	fitness
fixen	fix	fixed
fjord	fiord
flach	fled
fläden	fled
flagge	flag
flagrante	flagrant	flagrante
flair	flair
flamen	flamen	flame	flam
flamenco	flamenco
flamingo	flamingo
flamme	flame	flam
flammen	flamen	flame	flam
flandern	flanders
flanell	flannel
flanke	flank
flankieren	flanking	flank
flasche	flash	flask
flattern	flatten	flatter	flat
flattert	flatter	flattery
fleck	fleck	flick
flexibilität	flexibility
flexion	flexion
flicken	flick
flieder	fled
fliese	flies
flinte	flint
flipper	flipper
flirt	flirt
flirten	flirt
flitter	flitter
flitzen	flitter
flitzer	flitter
flocken	flock
flog	flog
flop	flop
flora	flora
florett	floret
florida	florida
floß	flog	flog
floß	flog	flog
flöten	fluted	flute
flötet	fluted
flötist	flutist	flute
fluktuation	fluctuation
fluktuieren	fluctuate
flunder	flounder
flunkern	flunker
flunkert	flunker
flur	fly	flour
fluß	plug
flüstern	fluster
flut	flute
föderalismus	federalization
föderation	federation
folie	tory
folklore	folklore
fön	fen
fond	fond	font	tong
foppen	top	topped	fop
forcieren	forcing
fordern	order	orders
forderung	order
foren	for	fore
form	form	formal	formic
formal	formal	formally
formalismus	formalism
formalistisch	formalistic
formalität	formality	formal
format	format
formatieren	format
formatieren	format
formatierung	format
formation	formation
formel	formal	former
formell	formal
formen	form	formed
formieren	forming	form
förmig	like	like	like
formlos	formless
formosa	formosa
formulierung	formulation
forsch	forte
förster	furst
fort	fort	forth	forte
fortran	fortran
fortune	fortune
forum	forum	fore	ore
fossil	fossil	fossils
fossilien	fossils
foto	photo	photography
fotograf	photographer
fotografie	photographic	photography
fotografisch	photographically	photographic
fotographie	photographic
fötus	fetus
foul	foul	foule	foully
foyer	foyer
fracht	fright
fraktion	fraction
fraktionslos	fractious
franc	franc
franken	franc	frank
franziskaner	franciscan
frau	frau
freak	freak
frei	frey	fry
freien	frey
freske	fresco
freud	freud
freund	freund
freut	freud
friede	fried	freed
frieden	fried	freed
frieren	freeze
frisch	fried
friseur	friseur
frisieren	frise
frist	frise
frivol	frivol
froh	from
fromm	from
fron	fro
front	front	fronte
frontal	frontally	frontal
frost	frost	frosty
frostig	frosty	frosted
frugalität	frugal	frugality
fuge	fuge	fugue	fug
füllen	filled	fille
füller	fuller	filler	filled
füllig	fille	filled	fully
füllung	fully	filling	filly
fulminant	fulminate
fummel	fumble
fummeln	fumble
fund	found	fund	find
fundieren	found	fund
funk	funk
funken	funk
funktion	function
funktional	functional
funktional	functional
funktionär	functional
funktionell	functional
funktionieren	functioning
für	fur	fury
furche	fork
furie	fuse	fury
furios	furious
furore	furore	furor
fürst	furst
fürst	furst
furt	fort	fury
furz	force
fusel	fusel	fous
fusion	fusion
fusionieren	fusion
fuß	fug	fuss
fußbad	bad	bade
fußball	ball	balls	bal
füttern	fatten	fat
fütterung	fatten
futur	future
gab	gab
gäb	gab
gabe	wave	gate
gabel	gabel	gable
gabeln	gable
gäben	gable	gabon
gabun	gabon
gaffen	gaff	gaffe	gaffer
gafft	waft
gag	gay	way	yay
gala	gala	gale
galaxie	galaxy	galax
galerie	gallery
galizien	galicia
galle	gall	wall
gallerie	gallery
gallien	walls
gallier	gall	wall
gallig	galling
gallisch	gallic
gallone	gallon
galopp	gallop	wallop
galvanometer	galvanometer
gang	gang	yang
gänge	gen	gang	gangue
gängeln	gangling	ganger
gängig	genic
gangster	gang	yang
gangway	gangway
gänse	gens
gänzlich	gently
gar	gar	war	ware
garage	garage
garbe	garb
garde	garden	garde	guard
garderobe	wardrobe
gardine	garde
gären	gar
garn	warn
garnele	garner
garnieren	garnish	warning
garnitur	garniture
garten	garden
gärung	gar
gas	gas	wash	was
gast	waste
gäste	gest	geste
gastieren	wasting
gastritis	gastritis
gastronomie	gastronomy	gastronomic
gastronomisch	gastronomic
gateway	gate	gateway
gatte	gate	water	wat
gatter	water	gather	waters
gaul	gaul
gaumen	gaum
gaze	gaze
gazelle	ga	wa
gazette	gazette	gazetter
gebar	coble
gebeine	given
geben	given
geber	giver	geb
gebettet	glister
geck	ticket	tick
gedeck	conic
geehrt	gear
geeint	gent	gently
geendet	gender
gefreit	fry
gefrieren	freeze
gehabe	haber	habe	have
gehalt	halt
gehalten	halt
gehangen	hang	hanged
geheilt	health
geheiß	heiss
gehen	hen
geheuer	heure
gehindert	hinder
geholfen	holf
geholt	holt
gehör	hour
gehören	hour
gehorsam	hourly
gehorsam	hourly
gehört	hour
gehüllt	holly
gehupe	hupa
geier	comer
geige	geiger	ginger
geiger	geiger	ginger
geist	geist
gekonnt	second
gelatine	gelatin
geld	geld
gelebt	gelebt
geleert	heart
gelehrt	heart	hearty	hearth
geleit	gale
gelistet	glister
gemacht	macht
gemalt	malt
gemenge	yemen
gemieden	middle	midden
gemindert	minded
gemisch	gem
gemischt	mist
gemistet	mister
gemurmel	murmur
gemustert	muster
gemüt	gemote
gen	gen	genic	genetic
genas	gene
genau	gene
general	general	generic
generalisierung	generalization
generalität	generality
generation	generation
generator	generator
generell	general
generierung	generation
generisch	generic
genetisch	genetic	genic
genial	genic	genial
genialität	geniality	genial
genick	genic	conic
genie	genic	gene
genieren	gen
geniert	genic	genius	gent
genius	genius
genre	genre	gear	gre
genua	genoa
genug	genug
genuß	genug
genüsse	genus
geograph	geographic	geography
geographie	geographic
geographisch	geographically
geologie	geology
geologisch	geologically
geometer	geometer
geometrie	geometric
geometrisch	geometric
georgien	georgia
geostationär	geostationary
geplagt	plate	plat	placation
geplant	plant
gepolt	port	porte
gepuffert	puffed	puffer	puffery
gerad	grad	grade
gerafft	graft
gerannt	granny
gerät	giant
geraten	gyrate
geraten	gyrate
geriatrie	geriatric
gerieben	grieve
gerinnen	grin
gerippe	grippe
germane	german	germane
germanisch	german	germanic
gern	gen	gern
geronnen	non
geruch	gyrus
gerundet	gender
gerundium	gerund
gestalt	gestalt
geste	gest	geste
gestisch	gestic	gest
getto	ghetto
gewillt	willy
gewinde	wind	winds	winder
gewinn	win
gewinnen	win
gewinner	winner
gewinnung	winning
gewiß	wig
gewitter	wither	winter	witted
gewittert	witted	wither
gewittrig	witted
ghetto	ghetto
gibraltar	gibraltarian	gibraltar
gicht	gest
gift	gift
giften	gifted	gift
giftig	gifted
gigant	giant
gigantisch	gigantic
gigolo	gigolo
gilde	gild	gilder
ging	gin
gips	gyps
giraffe	giraffe
giro	giro	gyro
gitarre	guitar
glanz	glance	glances
glänzen	glance
glanzzeit	glance
glas	glass	class
glasig	classy	glassy
glich	gly	clich
glichen	clich
glimmen	climate
glitt	glint
glitzern	glitter
global	global
globetrotter	globetrotter
globus	glob
glocke	clock
glosse	gloss
glyzerin	glycerin
gnom	gnome	gnomic	gnosis
gnosis	gnosis
gold	gold
golden	golden	gold
golf	golf
gong	gong	goon
gönnen	gen
gorgonzola	gorgonzola
gorilla	gorilla
gorki	gorki
goß	gog
göttin	getting
göttingen	getting
götze	get
gouda	gouda
grab	grab
graben	grave	graven
gräber	grab
grad	grad	grade
gradient	gradient
graduell	gradual	gradually
graf	graph	graf
grafik	graphic
grafiker	graphic
grafisch	graphic	graphically
gramm	gram	graph
grammatisch	grammatically
grandios	grandiose
granit	granite
granulat	granulate
graph	graphic	graph	grape
graphik	graphic
graphiker	graphic
graphisch	graphic	graphically
graphit	graphite
gras	grass	gras
grasen	grass	graze
grat	grate	grant
gratifikation	gratification
gratis	gratis
gratulation	congratulation
gratz	grand
grau	gre
graupe	group
gravieren	grave	graven
gravierung	grave
gravitation	gravitation
gravur	gravure
graziös	gracious
greenhorn	greene	greenhorn
greenwich	greenwich
greis	grey
greise	greisen
grell	gre
grenada	grenada	grenadian
grienen	green
grillen	grill	grille
grimasse	grimace
grippe	grippe
grips	grips	grip
grobian	grove
grog	grog
groschen	groschen
groß	grog
grossist	grosse
grotesk	grotesque
grotte	grot
grub	grub
grube	grub
grund	ground	grundy
gründen	grundy
grundieren	ground	grounding
grundierung	grundy
grundmaterial	materials
gründung	grundy
gucken	guck
guerillero	guerilla	guerrilla
gulag	gulag
gulden	golden
gummi	gumma
gurgel	gurgle
gurgeln	gurgle
gurt	gur
guru	guru
gusto	gusto
gut	gut	gout
gut	gut	gout
güte	gate	gat
gymnasium	gymnasium
gymnastisch	gymnastic
gynäkologie	gynecology
haar	hair	hairs	hairy
haarig	hairy	haired
hab	habe	hub
haben	haven	haber
habilitation	habilitation
habitus	habits	habitual
hacken	hack
hacker	hacker	hackery
hades	hades
hafen	half
haft	hip	haft
haften	haft
hagel	hail
hagelt	agent
hai	head	read	hay
haifa	haifa
hain	hay
haken	hac
haken	hac
halbieren	halve
half	half
hälfte	helped
halfter	halter	alter	halt
halftern	halter
hall	hall
hallen	hall
hallo	allo
halogen	halogen
hals	halt	hale	als
halt	halt
halten	halt
halter	halter	alter	halt
halterung	halter
hamburg	hamburg
hamburger	hamburger
hämisch	hemic
hammel	hammer
hammer	hammer	hamper
hämmer	hammer
hämmern	hammer
hampshire	hampshire
hand	hand	handy	hang
hände	hand
handel	handel	handle
händel	handel
handeln	change	handle	handling
händler	handle
handlung	handling
handshake	handshake
hang	hang	hank
hangar	hangar
hängen	hang
hängig	hanging
hannover	hanover
hanoi	hani
hantel	handel
hanteln	hunter	hater	renter
hantieren	hating
hapern	happen
hardware	hardware
harem	harm	harem
harfe	serf
harken	harken	hark
harlekin	harlequin
harlem	harlem
harmlos	harmless
harmonie	harmony
harmonium	harmonic
harn	hart
harren	harry
harsch	harsh	harass
hart	hart	hard
härten	hart	harden
härter	hart
harz	hart
haschen	hash
haß	ass	hag	cag
hasten	hasten	hast	hasty
hastig	hasty
hat	hat	hate	hath
hatte	hate	hat	hated
hätte	hat
hauch	ouch
hauer	our
haufen	auf
haus	house
häute	hest	heat
häutung	heating
hawaii	hawaii
hebel	hebe
hebeln	sever
heben	seven	hebe
heber	sever
heck	heck	hick
hecken	heck
heer	herr
heft	heft	hefty
heften	hefty	heft
heftig	hefty
heftpflaster	plaster
hehl	heal
hehlen	heal	healer
hehlerei	healer
heil	heil
heilen	heil
heirat	heir	hair
heiß	heiss
hektar	hectare
hektik	hectic	hector
hektisch	hectic
held	held
helfen	helped
helfer	helper	helped
hell	hell	hells	hello
hellen	hell
hellenisch	hellenic
helm	helm	helmet
helsinki	helsinki
henkel	hence
henne	hen
her	her	here	herr
heran	heron
herb	herb	herbe
herbarien	herbarian
herbei	herbe
herd	herd
hering	herring
hermetisch	hermetic
heroin	heroin	heroic	heroine
heroisch	heroic
herr	herr	hurry
herum	here
herz	hertz	hert
herzlos	hurtless
hessisch	hessian
heterogen	heterogenetic
heu	leu
heuristisch	heuristic
hexadezimalzahl	hexadecimal
hexameter	hexameter
hexen	hex	sex	hexed
hexer	hexed
hieb	hob
hielt	halt
hier	red
hierarchie	hierarch
hierbei	herbe
hierein	herein	hiation
hiermit	hermit
hieroglyphe	hieroglyph
hierunter	reenter
hilfe	relief
hilft	hilt
hin	hin	hist
hinab	stab
hinan	hinan
hindern	hinder
hinein	honey
hing	hin
hinken	hinc
hinkt	hinc
hinter	renter
hippie	hippie
hirn	hire
hiroshima	hiroshima
hirse	hers
historik	historical
hit	hit	hot	hide
hitze	hit	hot	hist
hitzig	hitting
hoare	hoar	hoard	hoary
hob	hob
hob	hob
hobby	hobby
hobel	hover
hobeln	hover
hoch	hoc
hoch	hoc
hocken	hock
hockey	hockey
hoden	hod
hof	off	of
hoffen	off
hohl	homing
hold	hold	old
holding	holding
holen	hole
holistisch	holistic
hölle	hell
hologramm	hologram
holz	holt
homeland	land	home
homerisch	homeric	homer
homogenität	homogeneousness
homöopath	homeopath	homeopathic
homöopathisch	homeopathic
homosexualität	homosexuality
honduras	honduras
honig	hose	hone
honorar	honorary
honorieren	honoring
honorierung	honoring
hoppeln	hopper	opp	hopple
hopsen	hops
hörbar	hourly
horde	horde	order
hören	hour
hörer	hour
horizontal	horizontality	horizontal
hormon	hormone
horn	horn	horse	hors
horror	horror
horst	horst	horse
horsten	horst
hose	hose	house
hospital	hospital
hostess	hostess
hostie	host
hotel	hotel
hub	hub
hübe	hover
huf	huff
hülse	holt
human	human	humane
humanismus	humanism
humanist	humanist
humanitär	humanitarian
humanität	humanity
humbug	humbug
hummer	hummer	human
humor	humor
humorist	humorist
humpeln	hump
humus	humus	hum
hund	hound	hung
hündisch	hind	hundi
hüne	hin	hun
hunger	hunger
hungern	hunger
hungert	hunger
hungrig	hungry	hungrily
hunne	hun	hound
hüpfen	hopper
hüpfer	hopper
hurra	hurrah
hurtig	hurting
husar	hussar
huschen	hush	house	hushed
hüsteln	hustler	hustle
husten	hustle
husum	house
hut	hut	hat	hate
hüten	hot
hüter	hot
hütte	hot
hyäne	hyena
hybrid	hybrid
hybris	hybrid
hydrant	hydrant
hydraulisch	hydraulic
hygiene	hygiene
hymne	hymn
hypothese	hypothesis
hypothetisch	hypothetically
hysterisch	hysteric
iberer	iberian
iberien	iberian
ich	ich	sh
icon	icon	iconic
ideal	ideal	ideality
ideal	ideal	ideality
idealerweise	ideally
idealismus	ideality	idealism
idee	id	idea
ideell	ideal	ideally
identifikation	identification
identifizieren	identification
identifizierung	identification
identität	identity
ideologe	ideologist	ideology
ideologie	ideology
ideologisch	ideologically
idiomatisch	idiomatically	idiotic	idiomatic
idiome	idiom
idiosynkrasie	idiosyncrasy
idiot	idiot	idiotic
idiotisch	idiotic	idiot	idiotically
idol	idol	idols
idyll	idyll
igel	ingle
ignorant	ignorant
ignoranz	ignorantia
ignorieren	ignore
ikone	icon
illegal	illegal
illegalität	illegality
illegitim	illegal
illoyal	disloyally	disloyal
illumination	illumination
illusion	illusion
illustration	illustration
illustrator	illustrator
illustrierung	illustration
illyrien	illyria	illyrian
illyrier	illyria	illyrian
im	im	imo
image	image	images
imaginär	imaginaire
imagination	imagination
imitation	imitation
imitator	imitator
immanent	immanent
immateriell	immaterial
immens	immense
immigrant	immigrant
immun	immune
immunität	immunity
imperativ	imperative	imperatively
imperativ	imperative	imperatively
imperator	imperator
imperfekt	imperfect	imperfection
imperial	imperially
imperialistisch	imperialistic
implantieren	implant
implementation	implementation
implementieren	implementation
implementierung	implementation
implementierung	implementation
implikation	implication
implizieren	imply
implizit	implicit
imponieren	impose
import	import
importieren	import	importing
impotent	impotent
impotenz	impotence
impresario	impresario
impression	impression
impressionismus	impressionist	impressionism
impressionist	impressionist
impuls	impulse
impulsiv	impulsive
in	in	ing	ins
inaktiv	inactively	inactive
inaktivität	inactiveness	inactivity
inder	inner	under
index	index
indexieren	indexing
indiana	indiana	indianan
indianapolis	indianapolis
indianer	indian
indianisch	indian
indien	india	indian
indifferent	indifferent
indifferenz	difference
indignieren	indign
indikation	indication
indikator	indicatory	indicator
indio	dio
indirekt	direct	indirect
indirektion	direction	indirection
indisch	indic	indian
indiskret	indiscrete
indiskretion	indiscretion
indiskutabel	indisputable
individualistisch	individualistic	individualistically
individuell	individual
individuum	individual
indiz	indice	indices
indizien	india	indice	indian
indizieren	indict
indochina	indochina
indonesien	indonesia
indonesier	indonesia	indonesian
indossament	endorsement
induktion	induction
indus	indus
industrie	industrial
industriell	industrial
induzieren	induce	induct
infam	infamous
infanterist	infantryman
infantil	infantine
infarkt	infarct
infekt	infect	infection
infektion	infection
inferieren	suffer	suffering	infer
inferno	inferno
inflation	inflation
informant	information
information	information
informativ	information
informatorisch	informative
informieren	information	informing
infrastruktur	infrastructure
inhalation	inhalation
inhalieren	inhale	inhaling
inhärent	inherence	inherent
inhuman	inhuman
initial	initial
initiale	initial
initiative	initiative
initiieren	initiate
initiierung	initiation
injektion	injection
inka	inca
inkarnation	incarnation
inklinometer	inclinometer
inkludieren	including
inklusive	inclusive
inkompetent	incompetent
inkonsistent	inconsistent	inconsistently
inkonsistenz	inconsistency
inkorrekt	incorrect
inkorrektheit	incorrectness
inland	land	lance	lang
inländer	lender	land	lancer
inländisch	land
inne	inn	inner	in
innere	inner
innerei	inner
innern	inner
innerste	innermost
innig	inning
innovation	innovation
innovativ	innovative
inquisitorisch	inquisitory
insekt	insect
insel	ins
insemination	insemination
insider	insider	inside
insistieren	insist
insolvent	insolvent
insolvenz	insolvency	insolvent
inspekteur	inspector
inspektion	inspection
inspektor	inspector
inspiration	inspiration
inspirieren	inspiring
inspizieren	inspect
instabilität	instability
installation	installation
installierung	installation
instanz	instant
instinkt	instinct
instinktmäßig	instinctive
institut	institution
institution	institution
institutionell	institutional	institutionally
instruieren	instruction	instructions
instruktion	instruction
instruktiv	instruction	instructive
instrument	instrument
instrumental	instrumental
instrumentalist	instrumentalist
instrumentell	instrumental
insulin	insulin
intakt	intact
integral	integrant	integrate
integration	integration
integrität	integrity
intellekt	intelligence	intellection	intellect
intelligent	intelligent
intelligenz	intelligence
intendant	intendant
intendieren	intending	intend
intensität	intensity
intensiv	intensive
intention	intention
interaktion	interaction
interdisziplinär	interdisciplinary
interessieren	interesting
interessiert	interested	interesting
interface	interface
interferenz	interference
interim	interim
intern	intern	inter
international	international
internationalismus	internationalism	internationalist
interpret	interpret
interpretation	interpretation
interpreter	interpreted	interpreter
interpretierung	interpretation
intervall	intervallo
interview	interview
interviewer	interviewer
intim	intima
intimität	intimacy
intolerant	intolerantly
intoleranz	intolerance
intransitiv	intransitive
intravenös	intravenous
intrigant	intrigant
intrige	intrigue
intuition	intuition
intuitiv	intuitive
invalide	invalid
invalidität	invalidity
inventar	invent	event
invers	invert
invertieren	invert
invertierung	invert
investieren	investing
investor	investor
involvieren	involve
inzest	incest
ion	ion	ing	ionic
ionisation	ionization
irak	ira
irakisch	iraqi
iran	iran	iron
iranisch	irani	ironic	iranian
ire	ire
irisch	irish
irland	ireland
ironie	ironic	iron
ironiker	ironic
ironisch	ironic	iron
irregulär	irregular
irrelevant	irrelevant
irrelevanz	irrelevance	irrelevancy
irreligiös	irreligious
irritation	irritation
irritieren	irritating
islam	islam
island	island	iceland
isländisch	island	iceland
isolationist	isolationist
isometrisch	isometric
israel	israel
israeli	israeli
israelisch	israeli
ist	ist	istic
istanbul	istanbul
italic	italic
italien	italian
italiener	italian
italienisch	italian
iteration	iteration
iterativ	iterative
iterieren	string
ja	ja
jacht	yacht
jacke	jack	jacket
jackett	jacket
jaffa	jaffa
jagen	jag
jaguar	jaguar
jahr	jahre
jalta	yalta
jamaica	jamaica
jammer	yammer	jammed
jammert	jammed
januar	january
japan	japan
japaner	japan
japanisch	japan
jargon	argon	argot	jargon
jäten	jy
jazz	jazz
je	je	ye
jeep	jeep
jein	yen
jemen	yemen
jena	jena
jene	jean	yen
jericho	jericho
jersey	jersey
jerusalem	jerusalem
jesuit	jesuit
jet	jet	jets	yet
jetten	jet	jetty	jets
jetzige	jetting
jiddisch	biddy
job	job
jobben	jobbery	jobber
joch	joke
joghurt	yogurt
joker	joker
jordan	jordan
jordanisch	jordan
jota	jot
journal	journal
journalismus	journalist
journalist	journalist	journalistic
journalistisch	journalistic
joystick	joystick
jubel	jube
jubiläum	jubilee	jubilee
jucken	yuck
jüdin	judy
judizieren	judy
judo	judo
jugend	jugend
jugoslawe	yugoslav
jugoslawien	yugoslavia
jugoslawisch	yugoslav
jumper	jumper	jumpers
jung	jung	junk
jüngling	jingling	jingle
juni	june
junior	junior
junker	junker
jupe	yup	jupe
jupiter	jupiter
jura	jurat	jure
jurist	jurist
juror	juror
jury	jury
just	just	juste
justieren	justify
justiz	justice	justices	justitia
jute	jute	jut
jütland	jutland
juwel	jewel	jewels
juwelier	jewel
kabarett	cabaret
kabel	cable
kabeln	cable	caber
kabeltrommel	cabala
kabine	cabin
kabinett	cabinet
kabriolett	cabriolet
kabul	kabul
kachel	cache	cacher
kadaver	cadaver
kader	chaser	cader	cad
kadett	cadet
kadi	kadi	cada
kai	kai
kairo	cairo
kaiser	kaiser
kaiserlich	chaise
kakao	cacao
kaktee	tact
kalabrien	calabria
kalamität	calamity
kali	kali
kaliber	caliber
kalifornien	california	californium
kalifornier	california	californian
kalk	chalk
kalkar	calcar
kalkig	calcific	chalky
kalkulation	calculation
kalkulator	calculator
kalkutta	calcutta
kalorie	calorie
kälte	celt
kälter	celt
kalvinist	calvinist
kalzium	calcine	calcium
kam	cam
kamel	camel	camels
kämen	cement
kamera	camera
kamm	cam
kammer	camera
kampagne	campagne
kampf	camp	champ
kampieren	camping
kanada	canada
kanadier	canadian
kanadisch	canadian
kanaille	canal	canaille
kanal	canal
kanalisation	canalization
kanalisierung	canalization
kandidieren	candid
kanister	canister
kanne	can
kannibalisch	cannibalic
kannte	canny
kanone	canon	canonic
kanonier	canonize	canonic
kanonisch	canonic	canon
kansas	kansas	kansa
kantate	cantata
kanten	chant
kantig	chanted
kanton	canton
kantorei	cantor
kanzel	cancel
kanzlei	cantle
kap	cape	cap	chap
kapazität	capacity
kaperung	caper
kapieren	coping
kapital	capital
kapital	capital
kapitalisierung	capitalization
kapitalist	capitalist
kapitalistisch	capitalistic
kapitol	capitol
kapitulation	capitulation
kapriziös	capricious
kapsel	caps	chaps
kaputt	caput	kaput
karaffe	carafe
karat	carat	karat
karawane	caravan
karbonade	carbonado
karbonat	carbonate
kardial	carry
kardinale	cardinal
kardinalzahl	cardinal
karg	charge
karibisch	carib
karies	caries
karikatur	caricatura
karneval	carnival
karo	caro	care	karo
karotin	carrot
karotte	carrot
karren	carry	carre
karte	card	cart	chart
kartei	carte
kartell	cartel
karthago	carthago
kartographie	cartographic
kartographisch	cartographic
