determinante	determinant
ultraviolett	ultraviolet
metier	métier
sonate	sonata
definitiv	definite	 definitely	 finally
cedille	cedilla
menora	menorah
despotismus	despotism
surrealismus	surrealism
doppelgänger	double	 doppelganger
revanchistisch	revanchist
klaustrophobisch	claustrophobic
hedonistisch	hedonistic
erythem	erythema
amphore	amphora
bioinformatik	bioinformatics
anisotropie	anisotropy
korvette	corvette
kation	cation
bretonin	breton
chanukka	hanukkah
osteoporose	osteoporosis
konservatismus	conservatism
trialis	trial
postulat	posit	 postulate
populistisch	populist
nihilistin	nihilist
genese	genesis
isabelle	isabel
vandale	vandal
chlorid	chloride
hieroglyphisch	hieroglyphic
prostylos	prostyle
respekt	respect
extern	external
nehemia	nehemiah
vivianit	vivianite
stillstand	standstill	 stalemate	 rest	 idleness
koitus	coitus
metabolismus	metabolism
berserker	berserk
human	humane
interviewen	interview
halluzinogen	hallucinogen
kreationist	creationist
kalvinist	calvinist
lunarianer	lunarian
psychiatrisch	psychiatric
intuitiv	intuitive
rebell	rebel
vampir	vampire
dahlie	dahlia
innovativ	innovative
natur	nature
bioinformatiker	bioinformatician
katecholamine	catecholamine
hamartie	hamartia
gujaratisch	gujarati
zoologin	zoologist
präposition	preposition
enthusiastisch	enthusiastic
freeganer	freegan
lama	llama
professionelle	professional
fluktuation	fluctuation
zellulose	cellulose
fermate	fermata
positiv	positive
salomo	solomon
genitalien	genitalia
organell	organelle
homosexualität	homosexuality
orientale	oriental
hieroglyphe	hieroglyph
mechanismus	action	 mechanism
gastroenterologie	gastroenterology
desertation	desertion
muslima	muslim
biophysik	biophysics
radiologe	radiologist
artistisch	artistic
irreparabel	irreparable
heterosexuell	heterosexual
purpur	purple	 crimson	 purpure
burgund	burgundy
parallelogramm	parallelogram
moralismus	moralism
paucalis	paucal
parallaxe	parallax
glycin	glycine
plastik	plastic
floristin	florist
journalismus	journalism
dynamit	dynamite
dynamik	dynamic
moral	morale
philologin	philologist
magnetosphäre	magnetosphere
glanduläre	glandular
kandidat	candidate
mechatronik	mechatronics
monismus	monism
infarkt	infarct
gras	grass	 weed	 pot
mongolismus	mongolism
extremistisch	extremist
kreation	creation
isotrop	isotropic
phagocytose	phagocytosis
leukotrien	leukotriene
genitiv	possessive	 genitive
vulgär	vulgar	 foul
reptil	reptile
venusianer	venusian
brigant	brigand
piedestal	pedestal
kadaver	cadaver
klingone	klingon
virologie	virology
absurdität	absurdity
feministin	feminist
chaperone	chaperon
typographie	typography
indiskretion	indiscretion
kompatibilität	compatibility
germanin	german
indianer	indian
jamaika	jamaica
kalvinismus	calvinism
pakistanisch	pakistani
experimentell	experimental
hulda	huldah
paleokonservativ	paleoconservative
schleppen	schlepp	 tow	 drag	 tug
kobalt	cobalt
zentrifuge	centrifuge
lila	purple	 lilac
olympiade	olympiad
shogunat	shogunate
apatit	apatite
mikroorganismus	microorganism
masochismus	masochism
analogon	analog
surrogat	surrogate
explosiv	explosive
masochistisch	masochistic
kongruent	congruent
knesseth	knesset
adrenalin	adrenaline
amphibie	amphibian
nominativ	nominative
dribbeln	dribble
takbīr	takbir
kommunismus	communism
inhuman	inhumane
honduraner	honduran
assassine	assassin
hegemonisch	hegemonic
obskurantismus	obscurantism
dadaismus	dadaism	 dada
koreaner	korean
borschtsch	borscht
aktivist	activist
virtuose	virtuoso
dekoration	decoration
organigramm	organigram
isometrie	isometry
abstrakt	abstract
guanako	guanaco
hellenistisch	hellenistic
steradiant	steradian
euphemismus	euphemism
genotyp	genotype
antipyretisch	antipyretic
konformist	conformist
evangelikal	evangelical
biometrie	biometrics
nationalität	nationality
pyrophobie	pyrophobia
bombe	bomb	 bombshell
arginin	arginine
kolossal	colossal
abecedar	abecedarium
masseurin	masseur	 masseuse
velours	velour
anthropologie	anthropology
antidepressivum	antidepressant
inkarnation	incarnation	 embodiment
qualitativ	qualitative
chillen	chill
abrupt	precipitous	 abruptly
extremismus	extremism
heuristisch	heuristic
chalcedon	chalcedony
skandium	scandium
afrika	africa
gros	gross
ergonomisch	ergonomic
wologda	vologda
hermaphroditisch	hermaphrodite
anthropomorph	anthropomorphic
anusvar	anusvara
euthanasie	euthanasia
supermarkt	supermarket
konstante	constant
intentionalismus	intentionalism
konformismus	conformism
radiologin	radiologist
radiologie	radiology
hermaphrodit	hermaphrodite
kummerbund	cummerbund
reifikation	reification
arterie	artery
destillation	distillation
nicaraguaner	nicaraguan
ziborium	ciborium
forke	fork
tombak	tombac
uria	uriah
urin	urine
dioxid	dioxide
messe	fair	 church	 mess	 mass
tablette	pill	 tablet
myrrhe	myrrh
komfort	comfort
kompresse	compress
tomate	tomato
kompressibilität	compressibility
bismut	bismuth
singularität	singularity
heureka	eureka
äquivalent	equivalent
ammoniak	ammonia
skulptur	sculpture
pandeistich	pandeistic
konditional	conditional
puritaner	puritan
liechtensteinerin	liechtensteiner
calvinismus	calvinism
negligee	negligée
kreml	kremlin
telegen	telegenic
polynom	polynomial
asymmetrisch	asymmetric	 asymmetrical
diagramm	chart	 diagram
tetralogie	tetralogy
melanesien	melanesia
glutaraldehyd	glutaraldehyde
pistole	pistol
ferromagnetismus	ferromagnetism
benzin	gasoline	 petrol	 gas	 benzine
omelett	omelette
ingredienz	ingredient
partnerin	date	 partner
exhibitionistisch	exhibitionist
homolog	homological	 homologous
polynja	polynya
nippel	nipple
differenziation	differentiation
orientalisch	oriental
megaphon	bullhorn	 megaphone
physiologe	physiologist
kontroverse	controversy
grinden	grind
planke	deal	 plank
finne	finn
ecuadorianisch	ecuadorian
voyeurismus	voyeurism
pupille	pupil
geologin	geologist
tonem	toneme
sapphismus	sapphism
asparagin	asparagine
samoaner	samoan
importeur	importer
biometrisch	biometric
christiane	christiana
darwinismus	darwinism
minotauros	minotaur
bronzen	bronze
bathyscaph	bathyscaphe
pneumologie	pneumology
exporteur	exporter
polyethylen	polyethylene
loganbeere	loganberry
schanghai	shanghai
kiribatier	kiribatian
akt	deed	 act
valin	valine
hypochondrie	hypochondria
nudismus	nudism
gallone	gallon
separat	separate
transplantieren	transplant
theistin	theist
katastrophe	catastrophe
novize	novice
enzephalomyokarditis	encephalomyocarditis
polytheismus	polytheism
archipel	archipelago
quartett	quartet
clownfisch	clownfish
mose	moses
instituieren	institute
magnetismus	magnetism
personal	personnel
presbyterianisch	presbyterian
banane	banana
macchie	macchia
witebsk	vitebsk
puffer	cushion	 buffer
pejorativum	pejorative
personen	person
achilleus	achilles
skrotum	scrotum
spionage	espionage
kassette	cassette
abdulla	abdullah
monotheismus	monotheism
visionär	visionary
gerundiv	gerundive
idiotyp	idiotype
dodekaphonist	dodecaphonist
israelisch	israeli
pyjama	pyjamas
archiv	archive
devise	device
regionalismus	regionalism
imperialistisch	imperialistic
gabriele	gabriela
spinett	harpsichord	 spinet
kameramann	cameraman
sanatorien	sanatorium
monogamie	monogamy
melanom	melanoma
lithosphäre	lithosphere
attacke	attack
joghurt	yoghurt
sekretariat	secretariat
zement	cement
neonatologie	neonatology
dement	demented
jütland	jutland
transfinit	transfinite
seismograf	seismograph
classis	class
konstant	constant	 level
honen	hone
enzym	enzyme
lüster	luster
portugiese	portuguese
zypriot	cypriot
senegalesisch	senegalese
antiguanisch	antiguan
chauvinistisch	chauvinist
privat	private
symbiogenese	symbiogenesis
kongenial	congenial
alpaka	alpaca
leitmotiv	leitmotif
diskordianismus	discordianism
individualismus	individualism
revisionismus	revisionism
separatismus	separatism
marxismus	marxism
liberianisch	liberian
colchicin	colchicine
signifikant	significant
senilität	senility
linguistik	linguistics
surrealistisch	surrealistic	 surrealist
metallurgie	metallurgy
socke	sock
antinomie	antinomy
glimmern	glimmer
katapult	catapult
thrombose	thrombosis
tetrarchie	tetrarchy
freeganismus	freeganism
germanismus	germanism
atheisten	atheists
begonie	begonia
metaphysik	metaphysics
psychopolitik	psychopolitics
emergenz	emergence
babesiose	babesiosis
attribut	attribute
theoretisch	theoretical	 theoretic
borgesianisch	borgesian
goali	goalie
theistich	theistic
schizophren	schizophrenic
histidin	histidine
akrobat	acrobat
psychose	psychosis
bringen	bring	 make
identität	identity	 unity
redundanz	redundancy
dyslexie	dyslexia
photograph	photographer
sara	sarah
thatcherismus	thatcherism
azoren	azores
fatalismus	fatalism
arsen	arsenic
montserrat	montserratian
gneis	gneiss
neuropathisch	neuropathic
kosmonaut	cosmonaut
immanuel	emmanuel
palindrom	palindrome
kenotaph	cenotaph
aphasie	aphasia
hormon	hormone
mirandés	mirandese
barriere	wall	 barrier
chauvinismus	chauvinism
dialog	dialogue
fragmentarisch	fragmentary
isoglosse	isogloss
atavistisch	atavistic
ruine	ruin
synchron	synchronic	 synchronous
eskalation	escalation
zytostom	cytostome
zentral	central
ecgonin	ecgonine
azur	azure
allel	allele
diokletian	diocletian
allee	avenue	 alley
lavendel	lavender
glucosamin	glucosamine
perfekt	consummate	 perfect	 flawless
dativ	dative
calcit	calcite
paralyse	paralysis
industrie	industrial	 industry
drops	drop
phantasmagorie	phantasmagoria
aktion	action
prototyp	prototype
daten	date	 data
naphthalin	naphthalene
videokassette	videocassette
institut	institute
multiplexen	multiplex
konstellation	constellation	 alignment
bromhexin	bromhexine
heterosexuelle	heterosexual
filtrat	filtrate
kabriolett	cabriolet
telepathie	telepathy
ilmenit	ilmenite
klingonin	klingon
liste	roll	 catalogue	 roster	 slate	 list
parallele	parallel
hermeneutik	hermeneutics
temporär	temporal	 temporary
irregulär	irregular
turbulenz	turbulence
nonkonformist	nonconformist
athlet	athlete
substantivieren	substantivise
feministisch	feminist
firma	company	 firm
volumen	volume
eschatologie	eschatology
gewinner	winner	 champion
laboratorium	laboratory
zoophobie	zoophobia
antenne	antenna
opiat	opiate
defragmentieren	defragment
trigonometrie	trigonometry
etymologie	etymology
monoton	monotonic
ethnologie	ethnology
motiv	motif	 motive
kommentar	comment	 commentary
kombination	combination	 plant
appendizitis	appendicitis
schelde	scheldt	 escaut
nepotismus	nepotism
infantilismus	infantilism
komitologie	comitology
hawaiianisch	hawaiian
dichotom	dichotomous
lunge	lung
kongress	congress
anthropomorphismus	anthropomorphism
valentin	valentine
standarte	standard	 banner	 brush
oktopus	octopus
sylphe	sylph
cousine	cousin
proletarier	proletarian
synonym	synonymous
nogaier	nogai
pakistanerin	pakistani
psychiatrie	psychiatry
hokkaidō	hokkaido
olivin	olivine
metapher	metaphor
minarett	minaret
studentin	student	 academician
holomorph	holomorphic
futur	future
kontext	context
sambia	zambia
prolin	proline
tourismus	tourism
disput	dispute
amphiprostylos	amphiprostyle
komputativ	computative
australien	australia
australier	australian
chassid	hassid
hydrophob	hydrophobic
abstinenz	abstinence
mosaik	mosaic
hungern	hunger
prisma	prism
feminismus	feminism
immunität	immunity
jakutsk	yakutsk
hydrophil	hydrophilic
falsett	falsetto
jussiv	jussive
kollaboration	collaboration
rampe	ramp
dualismus	dualism
trichotillomanie	trichotillomania
fatalistisch	fatalistic
despotie	despotism
transvestit	transvestite
lymphom	lymphoma
selenologin	selenologist
selenologie	selenology
bluttransfusion	transfusion
turkmene	turkmen
albatros	albatross
lemure	lemur
analog	analogue
praseodym	praseodymium
korrupt	corrupt
radioisotop	radioisotope
neolithikum	neolithic
kreationismus	creationism
diphtherie	diphtheria
frequentativum	frequentative
photoshoppen	photoshop
toupet	toupee
hexamethylendiamin	hexamethylenediamine
moderat	moderate
pyramide	pyramid
sentimentalität	sentimentality
saxophonistin	saxophonist
kalorie	calorie
ministerin	minister
