a	um
demagoguery	demagogie
demagogues	demagogie
demagogy	demagogie	demagogisch	demagoge
dement	dementieren
dementing	dementierung
demerit	emeritieren
demeriting	emeritieren
demo	dem
demobilization	demobilisierung
demobilize	demobilisieren
demobilizes	demobilisieren
demobilizing	demobilisierung
democracies	demokratie
democracy	demokratie	demokrat
democrat	demokrat
democratic	demokratisch
democratical	demokratisch
democratically	demokratisch
democratism	demokratisch
democratize	demokratisieren
democrats	demokrat
demon	dämon	dem
demoniac	dämonisch
demoniacal	dämonisch
demonian	dämonisch
demonic	dämonisch
demonical	dämonisch
demonise	dämonisch
demonstrable	demonstrativ
demonstration	demonstration
demonstrations	demonstration
demonstratively	demonstrativ
demoralization	demoralisation
demoralize	demoralisieren
demoralizer	demoralisieren
demoralizes	demoralisieren
demoralizing	demoralisieren
den	den
dengue	ding
dennis	tennis
denominate	denominieren
dens	den
dent	den
dentist	dentist
dentists	dentist
denunciation	denunziation
denunciations	denunziation
deny	den
departing	departement
department	departement
departmental	departement
departments	departement
deport	deportieren
deportation	deportation
deportations	deportation
deportee	deportieren
deportees	deportieren
deportment	departement
depot	depot
depots	depot
depressant	depressiv
depressed	depressiv
depression	depression
depressions	depression
depressive	depressiv
depressively	depressiv
der	der	derer	den
deride	der
derm	termin
dermis	termin
derries	der
des	des	den
desert	dessert
desertic	dessert
desertion	desertation
deserts	dessert
deserves	reserve
deserving	reservierung
design	design
designation	design
designing	design
designs	design
desk	desk	disk
despot	despot
despotic	despot	despotisch
despotically	despotisch
despots	despot
dessert	dessert
desserts	dessert
destination	destination
destinations	destination
destructed	destruktiv
destruction	destruktion
destructions	destruktion
destructive	destruktiv
destructively	destruktiv
detail	detail
details	detail
detectable	detektiv
detecting	detektierung
detection	detektion
detections	detektion
detective	detektiv
detectives	detektiv
detector	detektor
detectors	detektor
detent	dezent
detente	dezent
detents	dezent
detroit	detroit
deus	deut
deuterium	deuterium
deutsche	deutsch
deutschland	deutschland
devaluation	evaluation
devas	devise
devisal	devise
devise	devise
devisee	devise
deviser	devise
devises	devise
devising	devise
devisors	revisor
devolution	revolution
devon	devon
devote	devot
devoting	devot
dewily	ewig
dewing	ewig
dews	ews
diabetic	diabetisch
diabolic	diabolisch
diabolical	diabolisch
diabolically	diabolisch
diadem	diadem
diag	ding
diagnose	diagnose
diagnoses	diagnose
diagnosis	diagnose
diagnostic	diagnostisch	diagnostik
diagnostically	diagnostisch
diagnostics	diagnostik
diagonal	diagonal
diagonally	diagonal
diagonals	diagonal
diagram	diagramm
dialect	dialekt
dialectal	dialektisch
dialectic	dialektisch
dialectical	dialektisch
dialectics	dialektik
dialects	dialekt
dialist	diele
dialog	dialog
dialogic	dialog
dialogs	dialog
dialogue	dialog
dials	diele
diam	dia
diane	dienen
dias	dia	die
dice	den
diced	den
dicer	der	derer
dicers	der
dices	des
dicey	deich
dick	dick	decken
dickens	decken
dict	diktieren
dictate	diktat
dictating	diktat
dictation	diktat
dictator	diktator
dictatorially	diktatorisch
dictators	diktator
diction	diktion
didactic	didaktisch	didaktik
didactically	didaktisch
didacticism	didaktik
die	die	dies
dies	dies	die
diesel	diesel
diesels	diesel
diet	diät
difference	differenz	differenzieren
differences	differenz
differential	differential
differentially	differentiell	differential
differentiation	differenzierung
diffuse	diffus
diffusion	diffusion
diffusions	diffusion
diffusive	diffusion
diffusor	diffusion
digger	bagger
diggers	bagger
digital	digital
digitalize	digitalisieren
digitalizing	digitalisieren
digitally	digital
digitals	digital
digitate	digital
dike	dich
dilemma	dilemma
dilemmas	dilemma
dilettante	dilettant
dilettanti	dilettantisch
dilettantish	dilettantisch
dilettantism	dilettantismus
dill	dill
dills	dill
dilly	dill
dimension	dimension
dimensions	dimension
din	ding	den
dinar	dinar
dinars	dinar
dine	den
ding	ding
dings	ding	dung
dingus	ding	dung
dinking	denken
dinned	binnen
dins	ding	den
dint	ding	den
diode	diode
diodes	diode
diphtheria	diphtherie
diphthong	diphthong
diphthongs	diphthong
diploma	diplom
diplomacies	diplomatie
diplomacy	diplomatie	diplomat
diplomat	diplomat
diplomate	diplomat
diplomatic	diplomatisch
diplomatically	diplomatisch
diplomats	diplomat
dire	dir
direct	direkt
directer	direkt
direction	direktion	direkt
directional	direktional
directionally	direktional
directions	direktion
directive	direktive	direkt
directives	direktive
directly	direkt
director	direktor
directorate	direktorat
directors	direktor
directory	direktor	direktorium
directs	direkt
dirked	wirken
dirndl	dirndl
dirndls	dirndl
dirties	partie
dirty	wirt
dis	dies	die
disc	disk
disciple	disziplin
disciples	disziplin
discipline	disziplinieren	disziplin
discipliner	disziplinieren
disciplines	disziplinieren
disciplining	disziplinieren
disco	disk	diskus
discoid	diskus
discos	diskus
discotheque	diskothek
discredit	diskreditieren
discrepancies	diskrepanz
discrepancy	diskrepanz
discrete	diskret
discretely	diskret
discretion	diskretion
discriminate	diskriminieren
discrimination	diskriminierung
discriminations	diskriminierung
discs	disk	desk
discus	diskus
discuss	diskussion	diskus
discussant	diskussion
discussing	diskussion
discussion	diskussion
discussions	diskussion
disharmonious	disharmonisch
disharmony	disharmonie
disinclined	denklinie
disinclining	denklinie
disinfect	defekt
disinfecting	desinfektion
disinfection	desinfektion
disinfections	desinfektion
disinfects	desinfektion
disk	disk	diskus
diskette	diskette
diskettes	diskette
dismal	diesmal
dismally	diesmal
dismals	diesmal
disparities	disparität
disparity	disparität
dispel	distel
dispense	dispens	dispensieren
dispenses	dispensieren
displays	display
disposition	disposition
dispositions	disposition
disproportional	überproportional
disproportionately	überproportional
dispute	disput
disqualification	disqualifikation
disqualifications	disqualifikation
dissent	dessen
dissertation	dissertation
dissident	dissident
dissidently	dissident
dissidents	dissident
dissipated	dissipativ
dissonance	dissonanz
dissonances	dissonanz
distance	distanz
distances	distanz
distancing	distanzierung
distant	distanz
distantness	distanz
distillate	destillat	destillieren
distilling	destillieren
distributing	distribution
distribution	distribution
district	distrikt
districts	distrikt
diva	diva
divan	diwan	diva
divans	diwan
divas	diva
diverge	divergieren
divergence	divergenz
divergences	divergenz
diverging	divergieren
divers	divers
diverse	divers
divert	divers
dividend	dividende
dividends	dividende
division	division
divisions	division
divisive	division
divisiveness	division
divisor	divisor
divisors	divisor
divot	devot
divots	devot
dixieland	dixieland
do	don	du	der
doable	dual
doberman	dobermann
doc	doch	dock
docent	dozent
docents	dozent
dock	dock
dockage	dock
docket	dock
doctor	doktor
doctored	doktor
doctoring	doktor
doctors	doktor
doctrinal	doktrin
doctrine	doktrin
document	dokument
documentary	dokumentation
documentation	dokumentation
dog	dogge	doge
doge	doge
doges	doge
dogger	dogge
doggery	dogge
doggo	dogge
doggy	dogge
dogma	dogma	dogmen
dogmas	dogma
dogmatic	dogmatisch
dogmatical	dogmatisch
dogmatically	dogmatisch
dogmatism	dogmatismus
dogmatist	dogmatiker
dogy	doge
doings	ding
dollar	dollar
dollars	dollar
dolphin	delphin
dom	dom
dome	dom
domicil	domizil
domicile	domizil
domiciles	domizil
domicils	domizil
dominance	dominanz
dominant	dominant
dominantly	dominant
dominants	dominant
dominate	dominieren
domineered	dominieren
dominican	dominikanisch
dominie	dominieren
dominion	dominieren
domino	domino
dominoes	domino
don	don	den
dona	don
done	don
dong	don	dung
dongs	dung
donna	donner
donne	donner
donned	donner
donning	donner
donnish	donner
dons	don	den
doping	doping
dorado	dorado
dors	dorn
dos	dose	don
dose	dose	dosieren
doser	dose
doses	dose	dosis
dosing	dosis	dosierung	dose
dosser	dose
dosses	dose
dost	dose
dot	dotieren	don
dotation	dotieren
dote	dotieren
doter	dotter
doters	dotter
dotier	dotieren
doting	dotieren
dotted	dotter
dotter	dotter
dotters	dotter
double	double
doubler	double
doubles	double
doublet	doublette
doublets	doublette
doubling	dublin
dour	dur	dorn
dourly	dur
dourness	dorn
douse	dose
douses	dose
dove	dover
dover	dover
doze	dozieren
dozen	dozieren
dozened	dozent
dozens	dozieren
dozenth	dozent
dozier	dozieren
dozing	dozieren
drab	trab
drably	drall
drachm	drachme
drachma	drachme
drachmae	drachme
draconian	drakonisch
draconic	drakonisch
drafter	betrachter
drafters	betrachter
drafting	betrachtung
draftings	betrachtung
drag	betrag
drags	betrag
drain	trainer
drainer	trainer
drainers	trainer
dram	drama
drama	drama
dramas	drama
dramatic	dramatisch	dramatik
dramatically	dramatisch
dramatics	dramatik
dramatize	dramatisieren
drank	drang
drastic	drastisch
drastically	drastisch
drawl	strahl
drawls	strahl
drawly	strahl
dray	betrag
drear	dreist
dreck	dreck
dresses	dressieren
dressier	dressieren
dribble	dribbeln
dribbling	dribbeln
driest	triest
drift	drift
drifter	drift
drifting	drift
drifts	drift
drifty	drift
drill	drillen
drilled	drillen
driller	drillen	triller
drillers	triller
drilling	drilling
drillings	drilling
drills	drillen
drink	drink
drip	trip
dripper	tripper
drippers	tripper
drogue	droge	trog
droit	dritt
dromedaries	dromedar
dromedary	dromedar
dross	drossel
drug	betrug	trug
drugs	betrug
druid	druide
druidess	druide
druidic	druide
druidism	druide
druids	druide
drunk	trunk
drunken	trunken
dry	drin	der
dryest	triest
dryness	drin
dual	duell	dual
dualist	dualistisch
dualistic	dualistisch
duality	dual
dually	duell	dual
duals	dual
dubious	dubios
dublin	dublin
ducat	dukate
ducats	dukate
duck	ducken
ducked	ducken
ducker	ducken
ducking	ducken
duel	duell
duelling	duell
duello	duell
duet	duett
dull	delle
dullest	delle
dumb	dumm
dummkopf	dummkopf
dump	dumpf
dun	dung
dune	düne
dunes	düne
dung	dung	düngen
dunged	dünger	düngen
dunging	düngen	dünger
dungs	dung
dungy	dünger	düngen
dunk	dung
duns	dung
duplicate	duplikat
duplicities	duplizität
duplicity	duplizität
dural	dur
duration	dur
durn	dur
durra	dürre
durrs	dürr
durst	durst	dursten
dusk	ducken
dusked	ducken
duskiness	ducken
dusking	ducken
dust	düster
dusted	düster
duster	düster
dusters	düster
dusting	düster
dusty	düster
dye	die
dyes	dies	die
dynamic	dynamisch	dynamik
dynamical	dynamisch
dynamically	dynamisch
dynamics	dynamik
dynamism	dynamik	dynamisch
dynamite	dynamit
dynamo	dynamo
dynasties	dynastie
dynasty	dynastie
each	esche
eager	lager
eagerly	lager
eagerness	lagern
eagers	lager
ear	ohr	eier
eared	ehren
easel	esel
easels	esel
easily	essig
eastwards	ostwärts
eatable	etablieren
eau	lau
ebb	ebbe
ebon	eben
ebons	eben
ebony	eben
eccl	ecke
echo	echo
echoes	echo
echoing	echo
eclat	eklat
eclats	eklat
eclipse	eklipse
eclipses	eklipse
ecologic	ökologisch
ecological	ökologisch
ecologically	ökologisch
ecologies	ökologie
ecology	ökologie	ökologisch
economically	ökonomisch
economics	ökonomie
economy	ökonomie
ecosystem	ökosystem
ecstasy	ekstase
ecstatic	ekstatisch
ecstatically	ekstatisch
ecuador	ecuador
ecumenic	ökumenisch
ecumenical	ökumenisch
ecumenically	ökumenisch
eczema	ekzem
edda	ende
eden	eden
edinburgh	edinburgh
edit	editieren
editor	editor
editorial	editorial
editorially	editorial
editorials	editorial
editors	editor
eery	eier
effect	effekt
effected	effektiv
effecter	effekt
effecting	effekt
effective	effektiv
effectively	effektiv
effector	effekt
effects	effekt
efficiencies	effizienz
efficiency	effizienz	effizient
efficient	effizient
efficiently	effizient
egg	egge
egger	egge
ego	ego
egocentric	egozentrisch
egocentrism	egozentrisch
egoism	egoismus	egoismen
egoist	egoist
egoistic	egoistisch
egoistical	egoistisch
egoistically	egoistisch
egoists	egoist
egotism	egoismus	egoismen
egotist	egoist
egotistic	egoistisch
egotistical	egoistisch
egotistically	egoistisch
egotists	egoist
egyptian	ägyptisch
eh	ehe	eher
eire	eier
either	eiter	eitern
elan	belang	elan
eland	eiland
elans	elan
elastic	elastisch
elastically	elastisch
elasticity	elastizität
elater	eltern	älter
elaters	eltern
electric	elektrisch	elektrik
electrical	elektrisch
electrically	elektrisch
electricity	elektrizität
electrics	elektrik
electrochemical	elektrochemisch
electrochemically	elektrochemisch
electrode	elektrode
electrodes	elektrode
electrodynamics	elektrodynamik
electrolyses	elektrolyse
electrolyte	elektrolyt
electromagnet	elektromagnet
electromagnetic	elektromagnetisch
electromagnetical	elektromagnetisch
electromagnetically	elektromagnetisch
electromagnetism	elektromagnetismus
electromagnets	elektromagnet
electronic	elektronik	elektronisch
electronically	elektronisch
electronics	elektronik
electrostatic	elektrostatisch
elegancy	elegant
elegant	elegant
elegantly	elegant
elegies	elegie
elegist	elegie
elegy	elegie
element	element
elemental	element
elementary	elementar
elements	element
elf	elf	elfe
elides	elite
elimination	elimination
eliminations	elimination
elite	elite
elites	elite
elitist	elite
elixir	elixier
elizabeth	elisabeth
elk	elch
ellipse	ellipse
ellipses	ellipse
ellipsis	ellipse
elliptic	elliptisch
elliptical	elliptisch
elliptically	elliptisch
elves	elbe
embargo	embargo
embargoes	embargo
embargoing	embargo
emblem	emblem
embolism	embolie
embryo	embryo
emeritus	emeritus
emersion	emission
emersions	emission
emigrant	emigrant
emigrants	emigrant
emigre	emigrieren
eminence	eminenz	eminent
eminences	eminenz
eminencies	eminenz
eminency	eminenz	eminent
eminent	eminent
eminently	eminent
emirate	emirat
emission	emission
emissions	emission
emissive	emission
emoting	emotion
emotion	emotion
emotional	emotional	emotionell
emotionality	emotionalität
emotionally	emotionell	emotional
emotions	emotion
emphysema	emphysem
empiric	empirisch
empirical	empirisch
empirically	empirisch
empiricist	empirisch
emporium	empor
empyreal	empirisch
empyrean	empirisch
emulating	emulation
emulation	emulation
emulations	emulation
emulsify	emulgieren
emulsion	emulsion
emulsions	emulsion
enacted	inaktiv
enactive	inaktiv	inaktiver
enate	ente
enates	ente
encage	enkel
enclave	enklave
enclaves	enklave
encode	encodieren
encoding	encodieren
encyclopedia	enzyklopädie
encyclopedic	enzyklopädisch
encyclopedically	enzyklopädisch
end	ende	enden
ended	enden
ender	enden	ende
enders	ändern
ending	enden
endings	endung
endless	endlos	endlich
endlessly	endlos
endogamy	endogamie
endogenous	endogen
endogeny	endogen
ends	enden	ende
endue	ende
energetics	energie
energies	energie
energy	energie	energisch
enervate	enervieren
engaged	engagiert
engagement	engagement
engagements	engagement
engine	engen
england	england
english	englisch
englishman	englisch
engr	engel
enormous	enorm
enormously	enorm
enplaned	einplanen
enrolment	einrollen
ens	eins
ensemble	ensemble
ensembles	ensemble
ensile	insel
ensiles	insel
entail	enteilen
entailed	enteilen
entailer	enteilen
entente	entente
ententes	entente
enter	entern
enters	entern
enthusiasm	enthusiasmus
entrepreneur	entrepreneur
entrust	entrüsten
entrusted	entrüsten
entrusting	entrüsten
entrusts	entrüsten
enzyme	enzym
epic	episch
epical	episch
epically	episch
epicure	epikur
epidemic	epidemisch
epidemically	epidemisch
epidemics	epidemie
epigram	epigramm
epilepsies	epilepsie
epilepsy	epilepsie
epilog	epilog
epilogs	epilog
epilogue	epilog
episode	episode
episodes	episode
episodic	episode
epoch	epoche
epochal	epochal
epochally	epochal
epochs	epoche
epoxy	epoxyd
equator	äquator
equators	äquator
equidistant	äquidistant
equidistantly	äquidistant
equip	equipe
equivalence	äquivalenz
equivalency	äquivalenz	äquivalent
equivalent	äquivalent
equivalently	äquivalent
equivalents	äquivalent
era	er
ere	er
erection	erektion
erections	erektion
erects	erektion
eremite	eremit
eremitic	eremit
erg	berg
ergonomic	ergonomisch
ergonomically	ergonomisch
ergonomics	ergonomie
ergs	berg
ermine	termin
erne	bern
erns	bern
erosion	erosion
erosions	erosion
erosive	erosion
erosiveness	erosion
erotic	erotik	erotisch
erotica	erotik
erotical	erotisch
erotically	erotisch
eroticism	erotik
erotics	erotik
erotism	erotik
erotize	erotisieren
erotizing	erotisieren
err	er
errata	erraten
erratic	erratisch
erratically	erratisch
erratics	erotik
erratum	erraten
error	terror
errors	terror
ersatz	ersatz	einsatz
erst	erst
eruct	eruieren
eruption	eruption
eruptions	eruption
es	es
escalation	eskalation
escalations	eskalation
escapade	eskapade
escapades	eskapade
escudo	eskudo
eses	essen
esoteric	esoterisch
espaliers	spalier
espial	spiel
espials	spiel
espresso	espresso
esprit	sprit
espy	spie
ess	essen	es
essayer	essay
essays	essay
esse	essen
essence	essenz
essences	essenz
esses	essen
esthete	ästhet
esthetic	ästhetisch	ästhetik
esthetics	ästhetik
estray	betrag	eintrag
etatism	etage
etatist	etage	statistin
ether	äther
ethereal	ätherisch
ethereally	ätherisch
etheric	ätherisch
etherish	ätherisch
ethers	äther
ethic	ethisch	ethik
ethical	ethisch	ethik
ethically	ethisch
ethicalness	ethik
ethicist	ethisch
ethics	ethik
ethiopian	äthiopisch
ethnic	ethnisch
ethnical	ethnisch
ethnically	ethnisch
ethnologic	ethnologisch
ethnological	ethnologisch
ethnologist	ethnologe
ethnology	ethnologisch
ethological	ethologisch
ethologies	ethologie
ethologist	ethologe
ethology	ethologie
ethos	ethos
etiquette	etikett
etude	etüde
etudes	etüde
euler	eule
eulogy	eule
eunuch	eunuche
eunuchism	eunuche
eunuchs	eunuche
euphoria	euphorie
euphorias	euphorie
euphoric	euphorisch
euphorically	euphorisch
europe	europa
euthanasia	euthanasie
evacuate	evakuieren
evacuates	evakuieren
evacuation	evakuierung
evaluating	evaluation
evaluation	evaluation
evaluations	evaluation
evangelic	evangelisch
evangelical	evangelisch
evangelically	evangelisch
evangelist	evangelist
evangelists	evangelist
evangels	evangelien
evasion	invasion
eve	eben
even	eben
evenfalls	ebenfalls
evens	eben
eventual	eventuell
eventuality	eventualität
eventually	eventuell
ever	eber
evergreens	evergreens
every	eber
eves	eben
evidence	evidenz
evidences	evidenz
evident	evident
evidently	evident
evolution	evolution
evolutionary	evolutionär
evolutions	evolution
ewing	ewig
exact	exakt
exacta	exakt
exacting	exakt
exactly	exakt
exacts	exakt
exam	examen
examinee	examinieren
examinees	examinieren
excellence	exzellenz
excellences	exzellenz
excellency	exzellenz	exzellent
excellent	exzellent
excellently	exzellent	excellent
exclusive	exklusiv
exclusively	exklusiv
excursion	exkursion
excursions	exkursion
excursus	exkurs
executable	exekutiv
executed	exekutiv
executive	exekutiv
executives	exekutiv
executor	exekutor	exekutiv
executors	exekutor
executory	exekutiv	exekutor
exegetic	exegetisch
exemplar	exemplar
exemplars	exemplar
exemplary	exemplar	exemplarisch
exile	exil
exiles	exil
exilic	exil
exist	existieren
existence	existenz
existences	existenz
existent	existent
existents	existent
existing	existieren
exogenous	exogen
exorcist	exorzist
exorcists	exorzist
exotic	exotisch
exotically	exotisch
expansion	expansion
expansions	expansion
expansive	expansiv
expansively	expansiv
expedition	expedition
expeditions	expedition
expensively	expansiv
experiment	experiment
experiments	experiment
expert	experte
expertise	expertise
experts	experte
explicit	explizit
explicitly	explizit
explicits	explizit
explode	explodieren
exploration	exploration
explorations	exploration
explosion	explosion
explosions	explosion
explosive	explosiv
explosively	explosiv
explosives	explosiv
exponent	exponent
exponential	exponential	exponentiell
exponentially	exponentiell
exponents	exponent
export	export
exportation	export
exporter	export
exporting	export
exports	export
expose	exponieren
exposes	exponieren
expositing	exposition
exposition	exposition
expositions	exposition
expositor	exposition
exposits	exposition
express	expression
expressing	expression
expression	expression
expressionism	expressionismus
expressionist	expressionist
expressionists	expressionist
expressions	expression
expressive	expressiv
expressively	expressiv
exquisite	exquisit
exquisitely	exquisit
extension	extension
extensions	extension
extensive	extensiv
extensively	extensiv
extensor	extension
exteriorly	extern
extern	extern
external	extern
externs	extern
extort	extern
extra	extrem
extract	extrakt
extracting	extrakt
extracts	extrakt
extrapolation	extrapolation
extraterritorial	exterritorial
extravagance	extravaganz
extravagances	extravaganz
extreme	extrem
extremer	extrem
extremism	extremismus
extremist	extremistisch
extremity	extremismus
eye	eier
eyed	eier
eyer	eier
eyers	eier
fable	fabel	fall
fabled	fallen
fabling	fabel
fabric	fabrik
fabricate	fabrikat
fabrication	fabrikation
fabrications	fabrikation
fabrics	fabrik
facet	facette
facets	facette
fact	fakten
factor	faktor
factored	faktor
factories	faktor
factoring	faktor
factors	faktor
factory	faktor
facts	fakten
faculties	fakultät
faculty	fakultät
fad	fade	fader
fade	fade	fader	feder
faded	fader
fader	fader	feder
faders	fader	feder
fades	fade
fads	fade
faerie	ferien
faeries	ferien
faery	faser
fag	vag
fags	vag
fahrenheit	fahrenheit
fail	feil
fain	fein
fair	fair
faire	fair
faired	fair
fairies	fair
fairing	fair
fairly	fair
fairs	fair
fairy	fair
falcon	falken	falke
falcons	falken
fall	fall	fallen	fell
fallen	fallen
faller	fallen
falling	fallen
fallout	fallout
fallouts	fallout
falls	falls	fall	fallen
false	falsch	falls
falsely	felsig
falsification	falsifikation
falsifications	falsifikation
falter	falter	falten
faltered	falter
faltering	falter
falters	falter
familia	familie
familial	familie
familiar	familiär
familiarly	familiär
familiars	familiär
families	familie
family	familie	familiär
famous	famos
famously	familie	familiär
fan	fang	fan
fanatic	fanatisch
fanatical	fanatisch
fanatically	fanatisch
fanaticism	fanatismus
fanfare	fanfare
fanfares	fanfare
fang	fang	fangen	fan
fanged	fangen
fangs	fang
fans	fan	fang
fantasia	fantasie
fantasias	fantasie
fantasie	fantasie
fantasies	fantasie
fantasm	fantasie
fantast	fantastisch
fantastic	fantastisch
fantastical	fantastisch
fantastically	fantastisch	phantastisch
fantasy	fantasie	phantasie
fantom	phantom
far	fern
farm	farm
farmed	farmer
farmer	farmer	farm
farmers	farmer
farmhouse	farm
farmstead	farm
fart	fast
farted	fertig
farting	fertig
fascinate	faszinieren
fascinates	faszinieren
fascism	faschismus
fascist	faschist	faschistisch
fascistic	faschistisch
fascists	faschist
fast	fast	fasten
fasted	fasten	fastet
fasten	fasten	fast
fastening	fasten
fastens	fasten
faster	fast	fasten
fastest	fastet
fasting	fast	fasten
fasts	fast	fasten
fat	fett
fatal	fatal
fatale	fatal
fatales	fatal
fatalism	fatalismus
fatalistic	fatalistisch
fatalistically	fatalistisch
fatalities	fatalität
fatality	fatalität	fatal
fatally	fatal
fatalness	fatalismus
father	vater
fathered	vater
fatherly	vater
fathers	vater
fating	fang
fattily	fettig
fatty	fett	fettig
faulted	faultier
faultier	faultier
fauna	fauna
faunas	fauna
faust	faust
favorite	favorit
fax	faxen
faxed	faxen
faxes	faxen
faxing	faxen
fay	vag
faze	faser
fazed	faser
fear	feier
fears	feier
feasant	fasan
fease	fest	faser
feast	fest	fast
feasting	fest
feasts	fest
feat	fett	feier
february	februar
fed	feder
federal	feder
federalism	föderalismus
federation	föderation
federatively	föderativ
fedora	fedora	feder
fedoras	fedora
fee	fee
feedback	feedback
feel	fiel
feels	fiel
fees	fee	fies
feet	fest	fee
feint	feind	fein
feist	fein
fell	fell
fella	fell
fellable	fell
fellas	fell
fells	fell
felly	fell
felt	filter	fels
felted	filter
felting	filter
feminine	feminin	feministin
feminist	feministin	feminin
feminists	feministin
fen	fern
fend	feind
fender	finder
fendered	finder
fenders	finder
fens	fern
fermium	farm
fern	fern
ferns	fern
ferny	fern
ferried	ferien
ferries	ferien
ferris	ferien
fesse	feder
festal	fest
fester	fest
festival	festival
festivals	festival
festivity	fest
festoon	festung
fete	fett
feted	fett
fetid	fetisch
fetish	fetisch
fetor	fett
fetted	fettig
fetter	fett
feudal	feudal
feudalism	feudalismus
feudally	feudal
feudary	feudal
feudatory	feudal
fey	fee
feyer	feier	feiern
feyest	feier
fez	fez	fez
fiasco	fiasko
fiascoes	fiasko
fib	fiber
fiber	fiber	faser
fibered	fiber	faser
fibers	fiber
fibre	fiber
fibula	fibel
fibulas	fibel
fiche	fisch	fischer
fiction	fiktion
fictions	fiktion
fictive	fiktiv
fidel	fidel
fideles	fidel
fidelity	fidel
fids	fies
field	feld
fiercely	ferkel
fierier	ferien
fiesta	fest
figged	fegen
figure	figur
figured	figur
figurine	figur
figuring	figur
filar	filter
file	file
filed	filet
filename	filename
filenames	filename
filer	file
files	file	filet
filet	filet	file
fileting	filet
filets	filet
filial	filiale
filibuster	filibuster
filibustered	filibuster
filibustering	filibuster
filibusters	filibuster
fille	file	füllen
filler	füller
fillers	füller
filles	file
fillet	filet
filleting	filet
fillets	filet
film	film	filmen
filmed	filmen
filmic	filmisch	film
filter	filter	filtern
filtered	filter
filtering	filter
filters	filter	filtern
fin	fisch	fing
finable	final
final	final	fisch
finale	final
finales	final
finality	final
finally	final
finals	final
finance	finanz	finanzieren
finances	finanz
financial	finanziell
financially	finanziell
financier	finanzierung
financing	finanzierung
find	finden	finder	fund
finder	finder	finden
finders	finder
finding	finden
finds	finden
finesse	finesse
finesses	finesse
finest	finesse
finger	finger
fingered	finger
fingerers	finger
fingering	finger
fingerling	finger
fingers	finger
finial	final
finials	final
fink	fink	funk
finn	finne
finns	finne
finny	finne
fiord	fjord
firer	feuer
firers	feuer
firm	firmen	firma
firma	firma	firmen
firmament	firmament
firmed	firmen
firmer	firmen
firming	firmen
first	first
firstly	first
firsts	first
fiscal	fiskalisch
fish	fisch	fischer	fischen
fished	fischer	fischen
fisher	fischer
fisheries	fischer
fishers	fischer
fishery	fischer
fishes	fischen
fishy	fisch
fisted	fisch
fistic	fisch
fistula	fistel
fistulas	fistel
fistulous	fistel
fiver	fiber
fivers	fiber
fix	fixen
fixe	fixen
fixed	fixen
fixer	fixen
fixes	fixen
fixing	fixierung	fixen
fjord	fjord
flacon	flakon
flacons	flakon
flag	flagge
flagged	flaggen
flagger	flagge	flaggen
flagging	flaggen	flagge
flaggy	flagge
flagrant	flagrante
flagrante	flagrante
flair	flair
flairs	flair
flame	flamme
flames	flamme
flamingo	flamingo
flamingoes	flamingo
flammed	flammen
flanders	flandern
flank	flanke	flankieren
flanker	flanke
flannelly	flanell
flash	flasche
flashes	flasche
flask	flasche
flatted	flattert
flatten	flattern
flatters	flattern
flattery	flattert
flautist	flaute
fleck	fleck
flecking	fleckig
flecky	fleckig
flemish	flämisch
flexibility	flexibilität
flexible	flexibel
flexing	flexion
flexion	flexion
flexions	flexion
flick	flicken	fleck
flicked	flicken
flicker	flicken
flickery	flicken
flicking	flicken
flied	flieder
fliers	fliese
flies	fliese
flinder	flunder
flint	flinte
flints	flinte
flinty	flinte
flipped	flipper
flipper	flipper
flippers	flipper
flippest	flipper
flirt	flirt	flirten
flirtation	flirt	flirten
flirtations	flirten
flirted	flirten
flirter	flirten	flirt
flirting	flirt
flirts	flirt	flirten
flirty	flirt	flirten
flitted	flitter
flitter	flitter
flittered	flitter
flittering	flitter
flitters	flitter	flitzer
flock	flocken
flocked	flocken
flocking	flocken	flockig
flockings	flockig
flocky	flockig
flog	flog	floß
flogs	flog
flop	flop
flora	flora
floras	flora
florence	florenz
florences	florenz
florescence	florenz
floret	florett
florida	florida
floridan	florida
flounder	flunder
floundered	flunder
floundering	flunder
flounders	flunder
flour	flur
flout	flaute
flouts	flaute
flow	flow
flu	flau
fluctuation	fluktuation
fluctuations	fluktuation
flunk	flanke
fluor	fluor
fluorine	fluor
fluors	fluor
flus	flut	flur
flute	flut
fluter	flut
flutes	flöten
fluting	flut
fluty	flut
focal	vokal
focally	vokal
foes	fest
foeti	fetisch
foetid	fetisch
foetor	fett
folia	folie
foliating	folie
foliation	folie
folic	folie
folio	folie
folk	volk
folklore	folklore
folklores	folklore
folly	voll
fond	fond	fund
fontina	fontäne
fop	foppen
fopped	foppen
foppery	foppen
fopping	foppen
for	foren	fort
fora	foren
ford	fort
fore	foren	forum
forenamed	namen
fores	foren
forgave	vorgabe
forging	vorging
forgings	vorging
forint	foren
form	form	formen
forma	form	formen	formel
formable	formal
formal	formal	form	formel
formalism	formalismus	formalismen
formalist	formalistisch
formalistic	formalistisch
formalistically	formalistisch
formalities	formalität
formality	formalität	formal
formalizing	formalisierung
formally	formal	formel	formell
formals	formal	formel
formant	format
format	format
formating	formatierung	format	formation
formation	formation
formations	formation
formative	format
formats	format	formation
formed	formen	format
former	formen	form
formfeed	formfeed
formic	form
forming	formen	formieren
formless	formlos
